aid,location,name,lat,lng,year_built,education,household,parking,complex_facility,move_in_day,subway_distance,convenience_facility
24,서울특별시 강남구 삼성동 삼성로111길 8,현대힐스테이트2단지,37.5138493,127.0515142,2008,6,926,1,0,5134,4,3
25,서울특별시 강남구 삼성동 선릉로126길 22,롯데캐슬프레미어,37.5151584,127.0451257,2007,7,713,2,5,5754,5,9
26,서울특별시 강남구 삼성동 선릉로130길 19,서광아파트,37.5171888,127.0430478,1998,1,304,1,0,8979,2,4
27,서울특별시 강남구 삼성동 선릉로130길 20,래미안삼성2차,37.5161739,127.0434589,2007,7,275,2,6,5766,3,9
28,서울특별시 강남구 삼성동 영동대로 602,미켈란107,37.5145796,127.060586,2003,5,64,2,0,6970,2,4
29,서울특별시 강남구 삼성동 영동대로114길 56,래미안삼성1차(103-22),37.5171071,127.0640034,2006,5,133,2,0,6090,7,5
30,서울특별시 강남구 삼성동 학동로 432,삼성동롯데아파트,37.5177621,127.0485461,2000,2,339,2,6,8309,3,4
31,서울특별시 강남구 삼성동 학동로64길 14,현대아파트101동,37.5167552,127.0446879,1999,5,198,1,0,8645,4,3
32,서울특별시 강남구 삼성동 학동로68길 29,삼성동힐스테이트 1단지,37.5162276,127.0485407,2008,6,1144,1,0,5134,5,3
33,서울특별시 강남구 삼성동 학동로68길 30,삼성동중앙하이츠빌리지,37.5159844,127.0462102,2004,7,298,2,0,6523,7,9
34,서울특별시 강남구 수서동 광평로31길 27,삼성,37.4848802,127.09066,1997,4,680,2,5,9161,12,3
35,서울특별시 강남구 수서동 광평로51길 22,수서한아름,37.4891576,127.1032373,1993,3,498,2,0,10652,9,2
36,서울특별시 강남구 신사동 압구정로50길 28,로데오현대,37.5265851,127.0373027,1998,4,139,1,0,8826,5,4
37,서울특별시 강남구 역삼동 도곡로 306,래미안그레이튼(진달래2차),37.494188,127.0478806,2010,7,464,1,0,4300,7,3
38,서울특별시 강남구 역삼동 도곡로43길 20,래미안그레이튼,37.4964269,127.0482989,2009,3,476,1,0,4748,5,3
39,서울특별시 강남구 역삼동 선릉로 423,동부센트레빌,37.4996497,127.0499488,1998,5,206,1,0,9040,5,4
40,서울특별시 강남구 역삼동 선릉로69길 19,역삼래미안,37.4972705,127.0502289,2005,5,1050,1,4,6272,3,4
41,서울특별시 강남구 역삼동 선릉로69길 20,e-편한세상,37.4987189,127.0499436,2005,5,840,1,3,6217,6,4
42,서울특별시 강남구 역삼동 언주로 332,역삼푸르지오,37.4976,127.0467981,2006,5,738,1,2,6204,8,4
43,서울특별시 강남구 역삼동 역삼로 306,개나리래미안,37.498551,127.0464387,2006,6,438,2,0,5966,14,8
44,서울특별시 강남구 역삼동 역삼로 314,개나리푸르지오,37.4996497,127.0499488,2006,6,332,2,2,5980,9,9
45,서울특별시 강남구 역삼동 역삼로 315-1,개나리SK뷰,37.5005166,127.0502997,2012,6,240,2,0,3781,5,3
46,서울특별시 강남구 일원동 일원로14길 25,푸른마을아파트101동~111동,37.4838213,127.0802998,1994,7,930,1,0,10560,10,4
47,서울특별시 강남구 청담동 삼성로133길 20,청담동삼성1차(101동),37.5194234,127.0478395,1997,4,158,1,0,9464,3,3
48,서울특별시 강남구 청담동 영동대로138길 12,청담자이,37.5235476,127.0574077,2011,4,708,1,0,4082,6,1
49,서울특별시 강북구 미아동 도봉로68길 26,현대(190-2),37.6307527,127.0256056,1992,3,231,0,0,10987,7,4
50,서울특별시 강북구 미아동 삼양로19길 25,래미안트리베라1단지,37.6142301,127.0208782,2010,4,1247,1,0,4599,11,1
51,서울특별시 강북구 미아동 삼양로27길 19,삼성래미안트리베라2단지,37.6173606,127.0203693,2010,4,1330,1,0,4599,6,1
52,서울특별시 강북구 미아동 솔샘로 159,벽산라이브파크,37.6218981,127.0125728,2004,1,2075,1,8,7427,3,3
53,서울특별시 강북구 미아동 솔샘로 174,에스케이북한산시티,37.6179362,127.0125629,2004,3,5327,1,8,7730,3,2
54,서울특별시 강북구 미아동 오패산로30길 30,경남아너스빌(1356-0),37.6151723,127.0356169,2003,7,858,1,4,7155,10,4
55,서울특별시 강북구 수유동 삼각산로 143-1,수유벽산1차,37.6421703,127.0189389,1993,6,1454,1,7,11048,3,3
56,서울특별시 강북구 수유동 인수봉로72길 4,극동,37.6419848,127.0123693,1992,4,574,1,7,11779,7,3
57,서울특별시 강북구 수유동 한천로159길 8,래미안수유,37.6446258,127.0184295,2001,4,690,1,4,7702,5,3
58,서울특별시 강서구 가양동 양천로55길 55,강서한강자이,37.5659751,126.8507521,2013,10,790,2,3,3382,8,1
59,서울특별시 강서구 내발산동 강서로 348,우장산힐스테이트,37.5557252,126.840809,2005,6,2198,1,8,6443,5,3
60,서울특별시 강서구 등촌동 강서로56나길 110,부영,37.5635275,126.8434171,1994,4,712,1,0,10257,12,3
61,서울특별시 강서구 등촌동 공항대로 351-21,"진로,미주아파트",37.5590237,126.8465685,1994,4,488,2,0,10287,11,6
62,서울특별시 강서구 등촌동 공항대로39길 100,대림,37.562539,126.8465439,1995,3,680,1,4,10045,12,3
63,서울특별시 강서구 등촌동 등촌로 163,등촌동아이파크,37.5437876,126.8604505,2004,4,1653,2,4,6944,12,5
64,서울특별시 강서구 방화동 방화대로34길 88,마곡푸르지오,37.5700024,126.821748,2008,5,341,1,0,5317,9,1
65,서울특별시 강서구 염창동 공항대로71길 31,극동상록수,37.5487744,126.872325,1999,2,255,1,2,8461,7,4
66,서울특별시 강서구 염창동 공항대로71길 54,태진한솔,37.5490933,126.8738254,1994,4,356,2,5,10318,9,2
67,서울특별시 강서구 염창동 공항대로75길 17,염창1차한화꿈에그린,37.5481227,126.8732458,2005,3,422,1,7,6485,6,5
68,서울특별시 강서구 염창동 공항대로75길 30,삼정그린코아,37.5477272,126.8746607,2001,3,206,1,4,7883,5,4
69,서울특별시 강서구 염창동 공항대로75길 42,대림,37.5482413,126.8754791,1999,2,122,1,3,8461,5,4
70,서울특별시 강서구 염창동 양천로 637,삼성한마음,37.5545882,126.8682746,1995,4,330,1,4,10045,7,2
71,서울특별시 강서구 염창동 양천로 656,관음삼성,37.5540319,126.8717993,1997,3,350,1,3,9283,5,4
72,서울특별시 강서구 염창동 양천로 686-5,삼성한아름,37.5540319,126.8717993,1993,3,140,1,0,10775,6,4
73,서울특별시 강서구 염창동 양천로 731,동아3,37.549533,126.877983,1999,2,571,1,6,8796,8,2
74,서울특별시 강서구 염창동 양천로63길 38,강변한솔솔파크,37.5566947,126.8665207,2005,3,455,1,3,6364,12,3
75,서울특별시 강서구 염창동 양천로63길 51,강변월드메르디앙,37.557685,126.865401,2010,3,164,1,3,4657,8,5
76,서울특별시 강서구 염창동 양천로67가길 49,이너스내안에201동,37.5540803,126.8704094,2006,3,51,1,0,5874,12,4
77,서울특별시 강서구 염창동 양천로69길 65,성원,37.5554689,126.8721166,2001,3,297,1,5,7883,15,4
78,서울특별시 강서구 염창동 양천로71가길 22,일신건영휴먼빌,37.552049,126.8733927,2004,3,166,1,4,6615,10,2
79,서울특별시 강서구 염창동 양천로75길 19,강변힐스테이트,37.5512482,126.8744482,2005,4,417,1,3,6595,11,2
80,서울특별시 강서구 염창동 양천로75길 22-21,이너스내안에,37.5507852,126.876267,2004,3,105,1,3,6678,10,4
81,서울특별시 강서구 화곡동 강서로 266,"우장산아이파크,이편한세상",37.549302,126.8386293,2008,3,2517,1,8,5484,5,1
82,서울특별시 강서구 화곡동 우현로 67,강서힐스테이트,37.5474691,126.8385196,2015,9,2603,2,7,2691,7,2
83,서울특별시 강서구 화곡동 화곡로13길 107,화곡푸르지오,37.5443631,126.8315655,2002,7,2176,2,5,7366,7,4
84,서울특별시 관악구 봉천동 관악로 285,봉천동아,37.4896844,126.9557273,2000,4,2090,1,2,8522,11,3
85,서울특별시 관악구 봉천동 관악로30길 12,봉천우성,37.4850876,126.959439,2000,3,2314,1,7,8053,11,3
86,서울특별시 관악구 봉천동 봉천로 387,두산,37.4867442,126.9453733,2000,5,2561,1,7,8095,7,6
87,서울특별시 관악구 봉천동 은천로 86,두산,37.4861221,126.9452193,2000,5,2561,1,7,8095,7,6
88,서울특별시 관악구 봉천동 은천로33길 5,관악동부센트레빌,37.4871701,126.9509001,2004,3,487,1,3,6790,15,3
89,서울특별시 광진구 광장동 아차산로 503-23,청구,37.5424859,127.0962615,1996,3,654,1,5,9922,13,4
90,서울특별시 광진구 광장동 아차산로 522,"현대8(801동,802동)",37.5478086,127.1052825,1995,4,537,1,4,10379,9,7
91,서울특별시 광진구 광장동 아차산로 544,삼성광장2,37.5478086,127.1052825,1989,3,195,1,5,12144,6,8
92,서울특별시 광진구 광장동 아차산로 549,현대파크빌,37.5438979,127.1014612,2000,3,1170,1,4,8156,5,8
93,서울특별시 광진구 광장동 아차산로69길 19,광장현대9단지,37.5424295,127.0977197,1999,3,437,1,5,8813,10,4
94,서울특별시 광진구 광장동 아차산로70길 61,현대5,37.5396716,127.1002287,1989,3,581,1,4,12307,11,8
95,서울특별시 광진구 광장동 아차산로70길 62,현대3,37.5406764,127.098826,1990,3,1056,0,7,11718,11,4
96,서울특별시 광진구 구의동 광나루로56길 29,현대프라임,37.5373373,127.0976724,1997,5,1592,1,6,9464,7,8
97,서울특별시 광진구 구의동 광나루로56길 32,구의현대2단지,37.5381006,127.0966199,1996,5,1606,1,0,11109,10,7
98,서울특별시 광진구 구의동 구의강변로 106,삼성쉐르빌,37.5398369,127.0948552,2001,4,252,2,0,7730,12,4
99,서울특별시 광진구 구의동 구의강변로 42,구의강변우성아파트,37.5352352,127.0928572,1992,4,354,1,0,11017,8,7
100,서울특별시 광진구 구의동 구의강변로 84,세양,37.5375462,127.0937661,2002,3,130,1,0,7638,4,2
101,서울특별시 광진구 구의동 구의강변로 94,구의현대6단지,37.5384531,127.0946536,1994,5,421,1,0,10560,7,8
102,서울특별시 광진구 자양동 능동로4길 78,우방리버파크,37.5311568,127.0704591,2003,3,214,1,0,7031,7,1
103,서울특별시 광진구 자양동 뚝섬로24길 74,한화꿈에그린,37.5335301,127.0619019,2006,3,116,2,0,6058,9,5
104,서울특별시 광진구 자양동 뚝섬로34길 9,자양2현대,37.5341534,127.0706505,1995,3,235,1,4,10136,7,8
105,서울특별시 광진구 자양동 뚝섬로36길 75,자양강변I-Park,37.5311693,127.0696364,2006,4,83,0,0,6443,7,7
106,서울특별시 광진구 자양동 뚝섬로40길 45,자양삼성,37.5319789,127.0718745,1999,5,375,1,2,8662,8,7
107,서울특별시 광진구 자양동 아차산로 262,더샵스타시티,37.5385884,127.0726347,2007,8,1177,3,0,5784,4,8
108,서울특별시 광진구 자양동 아차산로36길 39,자양우성7,37.5363257,127.0745397,1998,8,625,1,3,9222,10,5
109,서울특별시 광진구 자양동 자양로5길 33,와이엠프라젠스파,37.5308753,127.0841313,2005,3,75,3,0,6254,14,4
110,서울특별시 광진구 자양동 자양번영로3길 65,자양삼성,37.5319789,127.0718745,1999,5,375,1,2,8662,8,7
111,서울특별시 구로구 개봉동 개봉로20길 158,현대홈타운,37.4915783,126.8615947,2001,4,964,1,3,7801,14,5
112,서울특별시 구로구 개봉동 개봉로20길 6,현대,37.4919831,126.8585354,2001,4,2412,1,6,7801,12,3
113,서울특별시 구로구 개봉동 개봉로2길 133-15,개봉동현대아이파크,37.4899112,126.8597938,2006,4,684,1,8,6043,15,5
114,서울특별시 구로구 개봉동 경인로 382,한마을,37.4888722,126.8557494,1999,3,1983,1,7,8645,8,5
115,서울특별시 구로구 개봉동 경인로38길 13,신개봉삼환,37.4966579,126.8578083,2001,4,173,1,0,7945,4,6
116,서울특별시 구로구 개봉동 남부순환로95길 16,삼호,37.4942723,126.8574704,1996,5,369,1,4,9679,4,4
117,서울특별시 구로구 개봉동 남부순환로95길 42-15,율포그레이스빌,37.4948684,126.8556689,2002,4,73,1,0,7499,7,3
118,서울특별시 구로구 개봉동 남부순환로95길 54,삼환,37.4947309,126.8543072,1995,5,783,2,4,9679,8,4
119,서울특별시 구로구 개봉동 남부순환로95길 88,두산,37.4949309,126.8526304,1997,5,561,1,4,9222,11,4
120,서울특별시 구로구 개봉동 남부순환로97길 50,상우,37.493709,126.8607222,1997,5,188,1,0,9161,3,4
121,서울특별시 구로구 고척동 경인로 343,삼환로즈빌,37.4979577,126.8580943,2004,6,600,1,7,6590,6,4
122,서울특별시 구로구 고척동 경인로 390,벽산,37.495597,126.8644826,2003,4,886,1,7,7225,9,4
123,서울특별시 구로구 고척동 중앙로1길 18-19,"우성,현대아파트",37.498705,126.8628448,1987,4,440,0,0,12844,15,6
124,서울특별시 구로구 고척동 중앙로6길 5-15,청구,37.5014697,126.8638173,1999,4,448,1,3,8887,15,5
125,서울특별시 구로구 구로동 공원로 26,금호,37.4998318,126.892111,1997,3,166,1,0,9562,12,6
126,서울특별시 구로구 구로동 공원로 35,새솔금호,37.4999834,126.8904994,1996,3,272,1,8,9679,12,6
127,서울특별시 구로구 구로동 구로동로43길 10,우리유앤미,37.4964694,126.8818085,2004,6,216,1,3,6605,12,6
128,서울특별시 구로구 구로동 구로동로47길 24,중앙하이츠(1269),37.4987734,126.880477,2001,3,597,1,8,7772,6,5
129,서울특별시 구로구 구로동 구로중앙로18길 68,현대,37.4959268,126.8931718,1988,3,397,1,0,12601,4,5
130,서울특별시 구로구 구로동 구일로10길 53,현대상선,37.4959449,126.8751589,1987,3,290,1,0,12847,8,6
131,서울특별시 구로구 구로동 구일로4길 65,주공1,37.4929745,126.8752803,1986,3,1400,1,7,13332,11,5
132,서울특별시 구로구 구로동 구일로8길 121,현대의보아파트,37.498215,126.8761427,1994,3,116,1,0,11021,9,5
133,서울특별시 구로구 구로동 구일로8길 79,영화참마음,37.4968817,126.8743634,2001,3,125,1,0,7914,5,4
134,서울특별시 구로구 구로동 구일로8길 92,중앙하이츠,37.4967184,126.876052,1987,3,579,1,0,12844,7,5
135,서울특별시 구로구 구로동 도림로 107,럭키,37.4918818,126.8940162,1992,2,427,1,6,10897,3,1
136,서울특별시 구로구 구로동 디지털로31길 90,삼성래미안,37.4876957,126.8918232,2004,3,1244,1,8,6789,8,5
137,서울특별시 구로구 구로동 새말로 31,신도림롯데아파트,37.5032924,126.8841316,1999,3,718,1,5,8431,7,6
138,서울특별시 구로구 구로동 새말로18길 64,신도림LG자이,37.5035444,126.8921353,2004,3,299,1,0,6897,8,5
139,서울특별시 구로구 구로동 시흥대로161길 50,신성미소지움,37.4792779,126.8966001,2003,3,240,1,0,6965,14,5
140,서울특별시 구로구 신도림동 경인로 643,동아2,37.5110546,126.8827673,2000,5,655,1,3,8309,9,7
141,서울특별시 구로구 신도림동 경인로 662,디큐브시티,37.5084321,126.8887332,2011,2,524,5,0,4202,3,5
142,서울특별시 구로구 신도림동 신도림로 105,우성2,37.5121172,126.8854718,1996,2,239,1,0,9529,6,11
143,서울특별시 구로구 신도림동 신도림로 11,대림3,37.5089693,126.8793477,2001,2,204,1,0,7791,12,11
144,서울특별시 구로구 신도림동 신도림로 32,대림e-편한세상5,37.5085751,126.8814279,2003,2,362,1,4,7068,14,11
145,서울특별시 구로구 신도림동 신도림로 56-13,대림e-편한세상7,37.5083837,126.8826556,2004,2,411,1,4,6765,14,11
146,서울특별시 구로구 신도림동 신도림로 78,동아3,37.5095183,126.884195,2000,4,813,1,2,8095,10,7
147,서울특별시 구로구 신도림동 신도림로 87,동아1,37.5110546,126.8827673,1999,4,1095,1,4,8461,9,5
148,서울특별시 구로구 신도림동 신도림로11가길 36,미성,37.5072702,126.8764944,1987,2,824,1,0,12210,12,3
149,서울특별시 구로구 신도림동 신도림로19길 16,현대홈타운아파트,37.5119989,126.8840088,1999,4,260,1,0,9099,10,5
150,서울특별시 구로구 신도림동 신도림로21길 21,우성5,37.5127682,126.883701,1994,2,154,1,0,10257,7,11
151,서울특별시 구로구 오류동 경인로 248-14,동부(101동~103동),37.4901258,126.8385254,1998,4,252,1,0,9648,6,5
152,서울특별시 구로구 오류동 경인로8길 64,영풍마드레빌,37.4915754,126.8388023,2002,4,627,1,6,7458,9,5
153,서울특별시 구로구 오류동 경인로8길 75,삼천리,37.4924955,126.8393636,1998,4,423,1,4,8796,8,5
154,서울특별시 구로구 오류동 고척로 41,오류동금호어울림,37.498314,126.8391356,2006,3,182,1,0,5940,10,3
155,서울특별시 구로구 오류동 고척로 49,동부골든,37.4992555,126.8395869,1998,3,1236,1,4,9191,11,3
156,서울특별시 구로구 오류동 고척로 52,한신플러스타운,37.4983138,126.8409518,2002,3,299,1,0,7553,11,3
157,서울특별시 구로구 오류동 서해안로 2368,우림필유,37.4939258,126.8468548,2005,4,120,1,0,6232,6,5
158,서울특별시 구로구 오류동 오류로 65,경남아너스빌,37.4904484,126.8397345,2003,4,296,1,0,7000,7,5
159,서울특별시 구로구 오류동 오류로8길 11,오류동푸르지오,37.4915303,126.8415485,2004,4,378,1,4,6819,5,5
160,서울특별시 구로구 오류동 오리로 1197,금강(343),37.4882212,126.8323456,2003,3,620,1,5,7042,11,2
161,서울특별시 구로구 오류동 오리로13가길 30,동보,37.4893924,126.8303293,1998,3,90,1,0,9040,14,2
162,서울특별시 금천구 독산동 범안로 1136,독산동중앙하이츠빌,37.464677,126.8887707,2004,6,554,1,4,6635,2,3
163,서울특별시 금천구 독산동 범안로 1158,태영아파트,37.4662048,126.890463,2001,5,90,1,0,7944,2,7
164,서울특별시 금천구 독산동 벚꽃로6길 3,이랜드해가든,37.4608384,126.8930743,2008,3,187,1,0,5419,10,2
165,서울특별시 금천구 시흥동 시흥대로51길 55,성지,37.4510831,126.8978383,1986,5,233,1,0,13270,15,2
166,서울특별시 노원구 공릉동 공릉로 213,동신아파트,37.628077,127.0768608,1999,5,452,1,2,8405,9,7
167,서울특별시 노원구 공릉동 동일로173가길 145,건영아파트,37.6245328,127.0714002,1998,4,90,1,0,8675,3,4
168,서울특별시 노원구 공릉동 동일로195길 39,대동아파트2,37.6265796,127.0699903,1999,4,190,1,0,8461,6,5
169,서울특별시 노원구 상계동 노원로 532,상계주공9(고층),37.6628519,127.0602666,1988,3,2830,1,9,12478,7,5
170,서울특별시 노원구 상계동 노원로28길 62,한일유앤아이,37.6541806,127.0710889,2005,3,305,1,4,6517,15,5
171,서울특별시 노원구 상계동 덕릉로 780,동아불암,37.6669249,127.0797349,1999,4,1107,1,5,8461,6,7
172,서울특별시 노원구 상계동 덕릉로118길 29,불암현대,37.6677865,127.0812704,1999,3,1298,1,5,8431,5,3
173,서울특별시 노원구 상계동 덕릉로94길 21,상계불암대림,37.6631716,127.0770146,2000,7,840,1,4,8522,8,7
174,서울특별시 노원구 상계동 동일로214길 21,상계주공4(고층),37.6504128,127.064299,1988,3,2136,1,9,12723,9,5
175,서울특별시 노원구 상계동 동일로216길 92,한양,37.6515825,127.0672761,1988,3,492,1,0,12662,12,4
176,서울특별시 노원구 상계동 동일로227길 25,상계주공11(고층),37.665688,127.0557151,1988,7,1944,0,4,12539,5,7
177,서울특별시 노원구 상계동 동일로227길 85,상계주공11(고층),37.6653602,127.052583,1988,7,1944,0,4,12539,5,7
178,서울특별시 노원구 상계동 동일로241길 53,두산,37.6773709,127.0531456,1994,3,763,1,0,10318,8,4
179,서울특별시 노원구 상계동 상계로3길 50,노원현대,37.6586789,127.0632818,1997,7,259,1,0,10532,4,5
180,서울특별시 노원구 상계동 상계로3길 53,노원현대,37.6583755,127.0622928,1997,7,259,1,0,10532,4,5
181,서울특별시 노원구 상계동 상계로5길 12,동양엔파트,37.6575352,127.0639274,2003,10,448,1,5,7063,1,9
182,서울특별시 노원구 상계동 한글비석로 396,벽산,37.6612726,127.0726949,1989,5,1590,0,8,12297,5,4
183,서울특별시 노원구 상계동 한글비석로 399,벽산,37.6599357,127.0716994,1989,5,1590,0,8,12297,5,4
184,서울특별시 노원구 상계동 한글비석로 479,보람1단지,37.6628678,127.064417,1988,5,3315,1,0,12631,14,4
185,서울특별시 노원구 상계동 한글비석로 480,보람2단지,37.6662467,127.0649923,1988,5,3315,1,0,12631,14,4
186,서울특별시 노원구 상계동 한글비석로46가길 16,한신1차,37.6659209,127.0687958,1987,4,420,1,0,13148,15,4
187,서울특별시 노원구 상계동 한글비석로46가길 34,한신3차,37.6662587,127.0674235,1990,4,348,0,0,12072,15,4
188,서울특별시 노원구 월계동 광운로19길 38,성북역신도브래뉴,37.6230565,127.0588488,2005,5,157,1,0,6423,5,2
189,서울특별시 노원구 월계동 마들로 31,한진한화그랑빌,37.6176466,127.0685939,2002,5,3003,1,5,7883,6,5
190,서울특별시 노원구 월계동 석계로 49,현대,37.6184726,127.0626469,2000,6,1281,1,3,8095,8,4
191,서울특별시 노원구 월계동 석계로13길 35,세양청마루,37.6206726,127.0605735,2005,5,115,1,0,6300,6,2
192,서울특별시 노원구 월계동 석계로13길 6-10,한일2,37.6211569,127.0619845,2000,5,171,1,0,8279,6,2
193,서울특별시 노원구 중계동 덕릉로 595,신안,37.6514232,127.0720887,1999,6,250,1,0,8614,15,7
194,서울특별시 노원구 중계동 덕릉로71길 30,양지마을(대림)1,37.6510805,127.0704475,1998,10,976,1,5,8796,14,11
195,서울특별시 노원구 중계동 덕릉로71길 5,성원1,37.6499382,127.069103,1996,6,402,1,0,10591,13,7
196,서울특별시 노원구 중계동 덕릉로73길 28,양지마을(대림)2,37.65314,127.0721422,1999,10,983,1,4,8706,12,11
197,서울특별시 노원구 중계동 덕릉로79길 23,염광,37.6567224,127.0736164,1996,3,791,1,7,9983,8,7
198,서울특별시 노원구 중계동 덕릉로84길 7,중앙하이츠,37.6598466,127.0765242,1998,5,499,1,0,10683,6,5
199,서울특별시 노원구 중계동 덕릉로86길 70,청암3단지(582),37.6602947,127.0789894,2003,5,180,1,0,7042,9,5
200,서울특별시 노원구 중계동 한글비석로 366,신일,37.658358,127.0747916,1998,3,94,1,0,8826,5,7
201,서울특별시 노원구 중계동 한글비석로14길 37,중앙하이츠,37.6591309,127.0762599,1998,5,499,1,0,10683,6,5
202,서울특별시 노원구 중계동 한글비석로15길 51,중계현대2,37.6559211,127.0740319,1991,3,313,0,0,11628,8,7
203,서울특별시 노원구 하계동 공릉로 351,청구,37.6378958,127.0686347,1988,6,1860,0,0,12478,1,7
204,서울특별시 노원구 하계동 한글비석로 91,하계1청구,37.6392243,127.0715448,1997,6,700,1,7,9344,7,7
205,서울특별시 도봉구 도봉동 도봉로180길 6-23,동아에코빌,37.6814584,127.0468345,2003,5,526,1,5,7335,7,2
206,서울특별시 도봉구 방학동 방학로15길 40,신동아아파트2,37.6591068,127.0234943,1992,6,660,1,7,11078,16,5
207,서울특별시 도봉구 방학동 해등로 307,우성아파트2,37.6568265,127.0219908,1993,6,558,1,0,10987,15,2
208,서울특별시 도봉구 쌍문동 노해로40길 71,브라운스톤쌍문,37.6472808,127.0293876,2006,4,155,1,0,5845,10,1
209,서울특별시 도봉구 쌍문동 우이천로 304,한양1,37.6492052,127.0230667,1986,4,824,1,0,13179,7,1
210,서울특별시 도봉구 창동 노해로63다길 34,동아그린,37.6544747,127.0464077,1996,4,449,1,3,9556,3,5
211,서울특별시 도봉구 창동 노해로69길 103,동아청솔,37.6571794,127.0483916,1997,3,1981,1,5,9344,8,2
212,서울특별시 도봉구 창동 노해로70길 12,동아,37.6511681,127.050345,1988,3,600,1,0,12417,4,6
213,서울특별시 도봉구 창동 노해로70길 126,창동주공18단지,37.646865,127.0520542,1988,4,910,1,0,12448,5,6
214,서울특별시 도봉구 창동 노해로70길 19,주공19단지(창동리버타운),37.6508326,127.0525489,1988,4,1764,0,0,12478,9,6
215,서울특별시 도봉구 창동 노해로70길 54,주공19단지(창동리버타운),37.649242,127.0509338,1988,4,1764,0,0,12478,9,6
216,서울특별시 도봉구 창동 도봉로136가길 68,금호어울림,37.6563305,127.0417,2004,9,299,1,0,6932,12,5
217,서울특별시 도봉구 창동 도봉로136길 28,북한산아이파크5차,37.6578429,127.0435358,2004,10,2061,2,4,6727,14,5
218,서울특별시 도봉구 창동 마들로 551,쌍용,37.6597623,127.048132,1997,5,1352,1,8,9526,14,4
219,서울특별시 도봉구 창동 해등로 50,창동주공3단지(해등마을),37.6500415,127.0436076,1990,4,2856,0,2,11567,7,3
220,서울특별시 도봉구 창동 해등로16길 12,현대조합,37.6558439,127.0406987,2000,4,205,1,0,8485,12,6
221,서울특별시 동대문구 용두동 정릉천동로 16,용두두산위브,37.573435,127.0362211,2009,3,433,1,0,5051,3,4
222,서울특별시 동대문구 이문동 외대역동로 101,중앙하이츠빌,37.5964272,127.0646074,2002,5,372,1,2,7525,3,5
223,서울특별시 동대문구 이문동 이문로12길 3-10,래미안이문2차,37.5934908,127.0603061,2004,3,648,1,3,6819,5,1
